pose_id,tx,ty,tz,qx,qy,qz,qw,loop_ids
0,0.000000000,0.000000000,0.000000000,0,0,0,1,304
1,0.037459919,-0.025397068,0.012329835,0,0,0,1,305
2,0.064110112,-0.034790992,0.015063900,0,0,0,1,306
3,0.146529764,-0.051756040,0.009117800,0,0,0,1,307
4,0.246649004,-0.171645104,-0.104048917,0,0,0,1,308
5,0.413837945,-0.305254059,0.043281896,0,0,0,1,309
6,0.562223175,-0.399842938,0.148528766,0,0,0,1,310
7,0.676496816,-0.480821351,0.243079503,0,0,0,1,311
8,0.770642002,-0.574330439,0.345485705,0,0,0,1,312
9,0.939232296,-0.659085223,0.537088952,0,0,0,1,313
10,1.032394358,-0.720211122,0.647577942,0,0,0,1,314
11,1.147031703,-0.819948383,0.846135636,0,0,0,1,315
12,1.195670365,-0.880527519,0.890432455,0,0,0,1,316
13,1.238144224,-0.947863820,0.941771948,0,0,0,1,317
14,1.324361542,-1.087890049,1.064898063,0,0,0,1,318
15,1.403545573,-1.244048074,1.171818431,0,0,0,1,319
16,1.485263210,-1.364855478,1.263909142,0,0,0,1,320
17,1.560806165,-1.482107603,1.393521859,0,0,0,1,321
18,1.660180247,-1.649787949,1.490475646,0,0,0,1,322
19,1.721736765,-1.770604838,1.598900398,0,0,0,1,323
20,1.759160435,-1.879191169,1.698101033,0,0,0,1,324
21,1.824219741,-1.973482971,1.861301370,0,0,0,1,325
22,1.919635755,-2.085859061,2.018320129,0,0,0,1,326
23,1.968624372,-2.194908705,2.124501520,0,0,0,1,327
24,2.018379075,-2.263834563,2.239191804,0,0,0,1,328
25,2.067019969,-2.363341304,2.313965641,0,0,0,1,329
26,2.140910331,-2.434984932,2.449412751,0,0,0,1,330
27,2.214970619,-2.489315495,2.559647427,0,0,0,1,331
28,2.257353056,-2.602803408,2.604759846,0,0,0,1,332
29,2.277852282,-2.674699990,2.649912150,0,0,0,1,333
30,2.318967117,-2.795147722,2.734660033,0,0,0,1,334
31,2.371477752,-2.913117880,2.821590823,0,0,0,1,335
32,2.424260849,-2.997482278,2.918145782,0,0,0,1,336
33,2.485261847,-3.083202183,3.064098036,0,0,0,1,337
34,2.535175845,-3.176052143,3.149725301,0,0,0,1,338
35,2.580344054,-3.270198828,3.189409390,0,0,0,1,339
36,2.619675067,-3.352788813,3.226385799,0,0,0,1,340
37,2.676309668,-3.450361395,3.306836755,0,0,0,1,341
38,2.741593581,-3.550097173,3.412464551,0,0,0,1,342
39,2.853669609,-3.675899099,3.572757301,0,0,0,1,343
40,2.930743948,-3.788324426,3.671987179,0,0,0,1,344
41,3.020918568,-3.869809882,3.819048513,0,0,0,1,345
42,3.151214336,-4.018505229,3.932596354,0,0,0,1,346
43,3.248597310,-4.218997243,4.045633789,0,0,0,1,347
44,3.321966677,-4.351482832,4.177742600,0,0,0,1,348
45,3.368310575,-4.491874184,4.260138670,0,0,0,1,349
46,3.423518669,-4.657853268,4.321766580,0,0,0,1,350
47,3.504550732,-4.776073552,4.474975126,0,0,0,1,351
48,3.609172066,-4.816746881,4.714105397,0,0,0,1,352
49,3.714333628,-4.959665968,4.923854410,0,0,0,1,353
50,3.796514270,-5.043957305,4.978584964,0,0,0,1,354
51,3.877693277,-5.182226750,5.074164975,0,0,0,1,355
52,3.929852581,-5.342477675,5.161763698,0,0,0,1,356
